"Yaş grubu, cinsiyet ve yasal medeni duruma göre ölümler, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Deaths by age group, sex and legal marital status, 2009-2023",,,,,,,,
[15 ve daha yukarı yaş-15 years of age and over],,,,,,,,
,,,,Yasal medeni durum-Legal marital status,,,,
Yıl,Yaş grubu,Cinsiyet,Toplam,Hiç evlenmedi,Evli,Eşi öldü,Boşandı,Bilinmeyen
Year,Age group,Sex,Total,Never married,Married,Widowed,Divorced,Unknown
2023,,,,,,,,
,,Kadın-Female,104244,2875,17747,80861,2759,2
,,,,,,,,
,Bilinmeyen,Toplam-Total,-,-,-,-,-,-
,Unknown ,Erkek-Male,-,-,-,-,-,-
,,Kadın-Female,-,-,-,-,-,-
2013,,,,,,,,
,Toplam,Toplam-Total,352046,20097,191844,125952,14153,-
,Total,Erkek-Male,193976,12112,140524,32914,8426,-
,,Kadın-Female,158070,7985,51320,93038,5727,-
,,,,,,,,
,15-19,Toplam-Total,3087,3018,65,2,2,-
,,Erkek-Male,2203,2192,11,-,-,-
,,Kadın-Female,884,826,54,2,2,-
,,,,,,,,
,20-24,Toplam-Total,3037,2528,470,7,32,-
,,Erkek-Male,2197,1941,241,2,13,-
,,Kadın-Female,840,587,229,5,19,-
,,,,,,,,
,25-29,Toplam-Total,3242,1694,1424,11,113,-
,,Erkek-Male,2267,1317,895,2,53,-
,,Kadın-Female,975,377,529,9,60,-
,,,,,,,,
,30-34,Toplam-Total,3791,1194,2302,36,259,-
,,Erkek-Male,2495,854,1489,12,140,-
,,Kadın-Female,1296,340,813,24,119,-
,,,,,,,,
,35-39,Toplam-Total,4709,956,3298,67,388,-
,,Erkek-Male,3026,631,2153,18,224,-
,,Kadın-Female,1683,325,1145,49,164,-
,,,,,,,,
,40-44,Toplam-Total,6767,880,5156,112,619,-
,,Erkek-Male,4408,538,3445,32,393,-
,,Kadın-Female,2359,342,1711,80,226,-
,,,,,,,,
,45-49,Toplam-Total,10406,1002,8186,305,913,-
,,Erkek-Male,7018,625,5707,60,626,-
,,Kadın-Female,3388,377,2479,245,287,-
,,,,,,,,
,50-54,Toplam-Total,15559,1074,12573,680,1232,-
,,Erkek-Male,10659,714,8958,136,851,-
,,Kadın-Female,4900,360,3615,544,381,-
,,,,,,,,
,55-59,Toplam-Total,22013,1050,17773,1570,1620,-
,,Erkek-Male,15331,689,13121,365,1156,-
,,Kadın-Female,6682,361,4652,1205,464,-
,,,,,,,,
,60-64,Toplam-Total,27862,978,22002,3285,1597,-
,,Erkek-Male,18846,592,16351,792,1111,-
,,Kadın-Female,9016,386,5651,2493,486,-
,,,,,,,,
,65-69,Toplam-Total,33064,950,24328,6308,1478,-
,,Erkek-Male,20830,517,17832,1495,986,-
,,Kadın-Female,12234,433,6496,4813,492,-
,,,,,,,,
,70-74,Toplam-Total,42841,1037,27758,12680,1366,-
,,Erkek-Male,24819,503,20294,3216,806,-
,,Kadın-Female,18022,534,7464,9464,560,-
,,,,,,,,
,75+,Toplam-Total,175665,3736,66507,100888,4534,-
,,Erkek-Male,79874,999,50025,26783,2067,-
,,Kadın-Female,95791,2737,16482,74105,2467,-
,,,,,,,,
,Bilinmeyen,Toplam-Total,3,-,2,1,-,-
,Unknown ,Erkek-Male,3,-,2,1,-,-
,,Kadın-Female,-,-,-,-,-,-
2012,,,,,,,,
,Toplam,Toplam-Total,353670,20821,191554,124729,13488,3078
,Total,Erkek-Male,195308,12394,140376,33074,7958,1506
,,Kadın-Female,158362,8427,51178,91655,5530,1572
,,,,,,,,
,15-19,Toplam-Total,3235,3115,63,2,5,50
,,Erkek-Male,2203,2160,10,-,-,33
,,Kadın-Female,1032,955,53,2,5,17
,,,,,,,,
,20-24,Toplam-Total,3399,2785,487,6,34,87
,,Erkek-Male,2477,2187,229,3,12,46
,,Kadın-Female,922,598,258,3,22,41
,,,,,,,,
,25-29,Toplam-Total,3620,1925,1477,24,110,84
,,Erkek-Male,2531,1454,977,8,54,38
,,Kadın-Female,1089,471,500,16,56,46
,,,,,,,,
,30-34,Toplam-Total,4162,1344,2466,27,238,87
,,Erkek-Male,2736,895,1656,3,144,38
,,Kadın-Female,1426,449,810,24,94,49
,,,,,,,,
,35-39,Toplam-Total,4984,1026,3466,53,361,78
,,Erkek-Male,3181,581,2319,15,228,38
,,Kadın-Female,1803,445,1147,38,133,40
,,,,,,,,
,40-44,Toplam-Total,6700,897,5016,107,589,91
,,Erkek-Male,4385,549,3393,21,368,54
,,Kadın-Female,2315,348,1623,86,221,37
,,,,,,,,
,45-49,Toplam-Total,10696,1060,8340,313,863,120
,,Erkek-Male,7139,639,5789,72,568,71
,,Kadın-Female,3557,421,2551,241,295,49
,,,,,,,,
,50-54,Toplam-Total,15439,1088,12223,669,1294,165
,,Erkek-Male,10714,670,8883,157,902,102
,,Kadın-Female,4725,418,3340,512,392,63
,,,,,,,,
,55-59,Toplam-Total,22685,1128,18324,1587,1463,183
,,Erkek-Male,15671,700,13478,360,1012,121
,,Kadın-Female,7014,428,4846,1227,451,62
,,,,,,,,
,60-64,Toplam-Total,27651,966,21602,3319,1546,218
,,Erkek-Male,18659,571,16052,819,1086,131
,,Kadın-Female,8992,395,5550,2500,460,87
,,,,,,,,
,65-69,Toplam-Total,33147,915,24320,6336,1324,252
,,Erkek-Male,20835,514,17780,1560,842,139
,,Kadın-Female,12312,401,6540,4776,482,113
,,,,,,,,
,70-74,Toplam-Total,44095,1010,28319,13041,1415,310
,,Erkek-Male,25454,471,20708,3305,814,156
,,Kadın-Female,18641,539,7611,9736,601,154
,,,,,,,,
,75+,Toplam-Total,173847,3561,65451,99243,4246,1346
,,Erkek-Male,79319,1003,49102,26751,1928,535
,,Kadın-Female,94528,2558,16349,72492,2318,811
,,,,,,,,
,Bilinmeyen,Toplam-Total,10,1,-,2,-,7
,Unknown ,Erkek-Male,4,-,-,-,-,4
,,Kadın-Female,6,1,-,2,-,3
2011,,,,,,,,
,Toplam,Toplam-Total,352865,21647,190640,123470,13194,3914
,Total,Erkek-Male,193979,12152,139300,32824,7817,1886
,,Kadın-Female,158886,9495,51340,90646,5377,2028
,,,,,,,,
,15-19,Toplam-Total,3413,3258,72,-,5,78
,,Erkek-Male,2300,2252,12,-,-,36
,,Kadın-Female,1113,1006,60,-,5,42
,,,,,,,,
,20-24,Toplam-Total,3414,2724,527,20,37,106
,,Erkek-Male,2333,2022,243,4,16,48
,,Kadın-Female,1081,702,284,16,21,58
,,,,,,,,
,25-29,Toplam-Total,3734,1891,1574,33,125,111
,,Erkek-Male,2447,1320,1003,11,69,44
,,Kadın-Female,1287,571,571,22,56,67
,,,,,,,,
,30-34,Toplam-Total,4274,1288,2606,35,236,109
,,Erkek-Male,2772,840,1742,12,132,46
,,Kadın-Female,1502,448,864,23,104,63
,,,,,,,,
,35-39,Toplam-Total,5280,1090,3636,56,382,116
,,Erkek-Male,3257,555,2405,16,235,46
,,Kadın-Female,2023,535,1231,40,147,70
,,,,,,,,
,40-44,Toplam-Total,6690,901,5006,135,531,117
,,Erkek-Male,4384,521,3432,26,344,61
,,Kadın-Female,2306,380,1574,109,187,56
,,,,,,,,
,45-49,Toplam-Total,11396,1223,8845,310,870,148
,,Erkek-Male,7506,642,6127,57,575,105
,,Kadın-Female,3890,581,2718,253,295,43
,,,,,,,,
,50-54,Toplam-Total,15076,1054,11970,697,1189,166
,,Erkek-Male,10389,641,8624,170,828,126
,,Kadın-Female,4687,413,3346,527,361,40
,,,,,,,,
,55-59,Toplam-Total,22450,1125,17911,1655,1525,234
,,Erkek-Male,15365,630,13129,368,1084,154
,,Kadın-Female,7085,495,4782,1287,441,80
,,,,,,,,
,60-64,Toplam-Total,28053,1060,21719,3481,1522,271
,,Erkek-Male,18547,601,15863,870,1042,171
,,Kadın-Female,9506,459,5856,2611,480,100
,,,,,,,,
,65-69,Toplam-Total,33468,962,24337,6564,1285,320
,,Erkek-Male,21049,507,17895,1608,835,204
,,Kadın-Female,12419,455,6442,4956,450,116
,,,,,,,,
,70-74,Toplam-Total,44277,1151,28056,13255,1368,447
,,Erkek-Male,25456,541,20477,3417,788,233
,,Kadın-Female,18821,610,7579,9838,580,214
,,,,,,,,
,75+,Toplam-Total,171325,3919,64380,97225,4119,1682
,,Erkek-Male,78167,1079,48347,26264,1869,608
,,Kadın-Female,93158,2840,16033,70961,2250,1074
,,,,,,,,
,Bilinmeyen,Toplam-Total,15,1,1,4,-,9
,Unknown ,Erkek-Male,7,1,1,1,-,4
,,Kadın-Female,8,-,-,3,-,5
2010,,,,,,,,
,Toplam,Toplam-Total,341709,20867,184754,117898,11988,6202
,Total,Erkek-Male,187062,11657,134658,30672,6944,3131
,,Kadın-Female,154647,9210,50096,87226,5044,3071
,,,,,,,,
,15-19,Toplam-Total,3336,3183,78,1,-,74
,,Erkek-Male,2225,2163,16,-,-,46
,,Kadın-Female,1111,1020,62,1,-,28
,,,,,,,,
,20-24,Toplam-Total,3333,2679,528,9,28,89
,,Erkek-Male,2313,2031,225,2,10,45
,,Kadın-Female,1020,648,303,7,18,44
,,,,,,,,
,25-29,Toplam-Total,3841,1906,1674,26,99,136
,,Erkek-Male,2582,1345,1106,10,44,77
,,Kadın-Female,1259,561,568,16,55,59
,,,,,,,,
,30-34,Toplam-Total,4192,1223,2591,36,223,119
,,Erkek-Male,2748,765,1779,7,125,72
,,Kadın-Female,1444,458,812,29,98,47
,,,,,,,,
,35-39,Toplam-Total,5222,1074,3622,68,324,134
,,Erkek-Male,3310,589,2416,19,212,74
,,Kadın-Female,1912,485,1206,49,112,60
,,,,,,,,
,40-44,Toplam-Total,6946,938,5209,109,544,146
,,Erkek-Male,4436,488,3523,14,328,83
,,Kadın-Female,2510,450,1686,95,216,63
,,,,,,,,
,45-49,Toplam-Total,11477,1057,9002,332,858,228
,,Erkek-Male,7683,585,6343,64,530,161
,,Kadın-Female,3794,472,2659,268,328,67
,,,,,,,,
,50-54,Toplam-Total,16072,1069,12804,722,1160,317
,,Erkek-Male,11183,613,9372,161,837,200
,,Kadın-Female,4889,456,3432,561,323,117
,,,,,,,,
,55-59,Toplam-Total,20791,1010,16627,1577,1227,350
,,Erkek-Male,14316,623,12251,367,855,220
,,Kadın-Female,6475,387,4376,1210,372,130
,,,,,,,,
,60-64,Toplam-Total,27056,990,20999,3277,1306,484
,,Erkek-Male,17711,566,15229,740,882,294
,,Kadın-Female,9345,424,5770,2537,424,190
,,,,,,,,
,65-69,Toplam-Total,32569,913,23342,6531,1208,575
,,Erkek-Male,20116,460,16962,1549,787,358
,,Kadın-Female,12453,453,6380,4982,421,217
,,,,,,,,
,70-74,Toplam-Total,42799,1071,26829,13031,1192,676
,,Erkek-Male,24154,471,19383,3324,634,342
,,Kadın-Female,18645,600,7446,9707,558,334
,,,,,,,,
,75+,Toplam-Total,163961,3754,61449,92179,3819,2760
,,Erkek-Male,74194,958,46053,24415,1700,1068
,,Kadın-Female,89767,2796,15396,67764,2119,1692
,,,,,,,,
,Bilinmeyen,Toplam-Total,114,-,-,-,-,114
,Unknown ,Erkek-Male,91,-,-,-,-,91
,,Kadın-Female,23,-,-,-,-,23
2009,,,,,,,,
,Toplam,Toplam-Total,341249,20824,183297,113963,12242,10923
,Total,Erkek-Male,188317,11685,133805,29986,7139,5702
,,Kadın-Female,152932,9139,49492,83977,5103,5221
,,,,,,,,
,15-19,Toplam-Total,3455,3274,70,2,-,109
,,Erkek-Male,2261,2173,15,-,-,73
,,Kadın-Female,1194,1101,55,2,-,36
,,,,,,,,
,20-24,Toplam-Total,3608,2761,615,10,32,190
,,Erkek-Male,2430,2062,242,3,10,113
,,Kadın-Female,1178,699,373,7,22,77
,,,,,,,,
,25-29,Toplam-Total,4197,2068,1772,22,115,220
,,Erkek-Male,2799,1443,1146,6,50,154
,,Kadın-Female,1398,625,626,16,65,66
,,,,,,,,
,30-34,Toplam-Total,4285,1261,2546,41,210,227
,,Erkek-Male,2763,765,1721,11,115,151
,,Kadın-Female,1522,496,825,30,95,76
,,,,,,,,
,35-39,Toplam-Total,5569,1063,3882,69,318,237
,,Erkek-Male,3516,549,2594,16,199,158
,,Kadın-Female,2053,514,1288,53,119,79
,,,,,,,,
,40-44,Toplam-Total,7802,1066,5771,146,516,303
,,Erkek-Male,5082,542,3952,42,344,202
,,Kadın-Female,2720,524,1819,104,172,101
,,,,,,,,
,45-49,Toplam-Total,11956,1102,9240,343,870,401
,,Erkek-Male,7952,621,6422,70,589,250
,,Kadın-Female,4004,481,2818,273,281,151
,,,,,,,,
,50-54,Toplam-Total,16742,1020,13272,814,1145,491
,,Erkek-Male,11632,581,9727,181,810,333
,,Kadın-Female,5110,439,3545,633,335,158
,,,,,,,,
,55-59,Toplam-Total,21628,962,17117,1657,1336,556
,,Erkek-Male,14937,569,12676,386,921,385
,,Kadın-Female,6691,393,4441,1271,415,171
,,,,,,,,
,60-64,Toplam-Total,26252,877,20075,3380,1243,677
,,Erkek-Male,17171,519,14612,771,855,414
,,Kadın-Female,9081,358,5463,2609,388,263
,,,,,,,,
,65-69,Toplam-Total,33458,913,23621,6818,1226,880
,,Erkek-Male,20647,490,17243,1655,783,476
,,Kadın-Female,12811,423,6378,5163,443,404
,,,,,,,,
,70-74,Toplam-Total,41589,962,25751,12618,1238,1020
,,Erkek-Male,23646,469,18681,3256,749,491
,,Kadın-Female,17943,493,7070,9362,489,529
,,,,,,,,
,75+,Toplam-Total,159745,3494,59563,88040,3993,4655
,,Erkek-Male,72752,902,44772,23586,1714,1778
,,Kadın-Female,86993,2592,14791,64454,2279,2877
,,,,,,,,
,Bilinmeyen,Toplam-Total,963,1,2,3,-,957
,Unknown ,Erkek-Male,729,-,2,3,-,724
,,Kadın-Female,234,1,-,-,-,233
Kaynak: Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü,,,,,,,,
               Sağlık Bakanlığı,,,,,,,,
Source: General Directorate of Civil Registration and Citizenship Affairs,,,,,,,,
              Ministry of Health,,,,,,,,
(r) Ölüm verileri güncel idari kayıtlarla revize edilmiştir.,,,,,,,,
(r) Death data were revised with updated administrative records.,,,,,,,,
- Bilgi yoktur.,,,,,,,,
- Denotes magnitude null.,,,,,,,,
