"Yaş grubu, cinsiyet ve eğitim durumuna göre ölümler, 2015-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Deaths by age group, sex and educational level, 2015-2023",,,,,,,,,,
[6 ve daha yukarı yaş-6 years of age and over],,,,,,,,,,
,,,,Eğitim durumu-Educational level,,,,,,
,,,,,,,"İlköğretim,",,,
,,,,,,,Ortaokul,,,
,,,,,,,veya dengi,,,
,,,,,Okuma yazma,,okul mezunu,    Lise veya,,
,,,,,bilen fakat,,Primary,     dengi,,
,,,,Okuma,bir okul,İlkokul,"education,",okul mezunu,Yüksek,
,,,,yazma,bitirmeyen,mezunu,Junior high,     High,öğretim,
Yıl,Yaş grubu,,Toplam,bilmeyen,No school,Primary,school and,school and,Higher,Bilinmeyen
Year,Age group,,Total,Illiterate,completed,school,equivalent, equivalent,education,Unknown
2023,,,,,,,,,,
,,,,,,,,,,
,15-19,Erkek-Male,1695,1,257,78,1157,187,-,15
,,Kadın-Female,797,-,157,39,508,82,-,11
,,,,,,,,,,
,20-24,Erkek-Male,2467,18,212,20,1087,938,165,27
,,Kadın-Female,918,19,113,18,340,332,82,14
,,,,,,,,,,
,25-29,Erkek-Male,2657,73,182,37,1155,652,523,35
,,Kadın-Female,1115,56,150,30,361,231,258,29
,,,,,,,,,,
,30-34,Erkek-Male,2923,97,89,63,1122,896,615,41
,,Kadın-Female,1420,87,101,96,467,335,288,46
,,,,,,,,,,
,35-39,Erkek-Male,3879,118,73,464,1257,1202,686,79
,,Kadın-Female,2168,124,98,548,518,465,362,53
,,,,,,,,,,
,40-44,Erkek-Male,5890,126,94,945,1810,1819,967,129
,,Kadın-Female,3376,204,154,1037,839,684,396,62
,,,,,,,,,,
,45-49,Erkek-Male,8578,149,86,1678,2938,2294,1293,140
,,Kadın-Female,4883,248,227,1811,1271,832,413,81
,,,,,,,,,,
,50-54,Erkek-Male,13122,175,156,3041,4776,3029,1709,236
,,Kadın-Female,6722,414,383,2883,1480,974,469,119
,,,,,,,,,,
,55-59,Erkek-Male,22666,314,361,6936,7327,4958,2309,461
,,Kadın-Female,11374,1050,960,5562,1863,1286,459,194
,,,,,,,,,,
,60-64,Erkek-Male,28893,493,717,12331,6627,5454,2726,545
,,Kadın-Female,14364,1784,1640,7409,1480,1255,557,239
,,,,,,,,,,
,65-69,Erkek-Male,37956,999,1718,19898,6278,4948,3363,752
,,Kadın-Female,21757,4174,3467,10426,1485,1191,644,370
,,,,,,,,,,
,70-74,Erkek-Male,40333,1711,3140,22925,4712,3766,3162,917
,,Kadın-Female,28157,7395,5756,11378,1312,1148,585,583
,,,,,,,,,,
,75+,Erkek-Male,130155,15745,24469,65717,7303,7429,7040,2452
,,Kadın-Female,153472,62027,37057,41711,3711,4098,1852,3016
,,,,,,,,,,
2020(r),,,,,,,,,,
