,,,,,2009(1),,,,,,,,,,,,2010(1),,,,,,,,,,,,2011(1),,,,,,,,,,,,2012(1),,,,,,,,,,,,2013(1),,,,,,,,,,,,2014(1),,,,,,,,,,,,2015(1),,,,,,,,,,,,2016(1),,,,,,,,,,,,2017(1),,,,,,,,,
,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,
Ölüm nedeni,,,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen
Cause of death,,,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown
Diseases of the circulatory system,,,Erkek - Male,56447,419,183,442,1656,5371,9462,13848,19352,5674,40,,57841,319,177,443,1557,5246,9639,14125,19785,6536,14,,60142,374,192,421,1579,4985,9842,14685,20482,7578,4,,60542,332,224,414,1478,4891,10116,14753,20385,7948,1,,71020,251,211,492,1716,5462,11275,16682,24203,10727,1,,75604,302,232,496,1762,5730,11818,17402,25483,12375,4,,79216,266,231,533,1805,5833,12312,18428,26219,13589,-,,82536,295,254,555,1871,6119,12953,19398,26527,14560,4,,83392,264,272,529,1975,6281,13370,19483,25825,15387,6
,,,Kadın - Female ,55711,409,153,292,780,2245,4834,11135,23876,11957,30,,58871,306,138,309,778,2099,4933,11711,24724,13855,18,,61001,302,152,260,698,2010,5056,11744,25314,15453,12,,61198,295,134,288,746,1984,4754,11497,24802,16692,6,,72050,236,137,237,755,2206,5297,12826,28458,21898,-,,78044,279,122,260,853,2366,5741,13645,30204,24572,2,,79975,224,122,247,823,2251,5677,13915,30139,26577,-,,83532,267,160,280,924,2546,6051,14095,30585,28624,-,,83873,282,138,264,917,2417,5997,13797,29879,30181,1
,,,Bilinmeyen - Unknown,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,-,-,1,,3,-,-,-,-,-,1,2,-,-,-,,1,-,-,-,-,-,-,-,1,-,-,,-,-,-,-,-,-,-,-,-,-,-
İyi huylu ve kötü huylu tümörler ,,,Toplam - Total,59386,726,633,1034,3049,8461,13727,15523,13713,2515,5,,63930,693,573,1184,2853,8844,14921,16896,14992,2968,6,,67450,646,606,1095,2884,8544,16367,18102,15644,3562,-,,69270,662,592,1115,2935,8597,16509,18721,16025,4110,4,,76534,758,588,1169,3180,9486,17947,20620,17933,4853,-,,78074,724,647,1234,3144,9355,18421,20971,18355,5222,1,,79160,684,640,1165,3102,8906,18731,21728,18375,5829,-,,81647,729,644,1171,3203,8957,19192,22740,18888,6123,-,,81886,715,637,1095,3109,8980,19224,23060,18749,6317,-
(malign ve benign neoplazmlar),,,Erkek - Male,38736,411,371,542,1638,5526,9738,10580,8622,1306,2,,41678,407,340,598,1444,5800,10527,11565,9493,1498,6,,43755,355,351,552,1483,5388,11571,12413,9784,1858,-,,44924,373,365,590,1484,5457,11742,12743,10115,2052,3,,49901,421,368,585,1584,6029,12828,14180,11386,2520,-,,50798,397,386,654,1526,5859,13037,14550,11683,2705,1,,51256,396,377,623,1497,5552,13079,15057,11629,3046,-,,52910,406,395,607,1537,5405,13467,15892,12028,3173,-,,52900,389,388,532,1467,5393,13443,16016,11937,3335,-
Neoplasms,,,Kadın - Female ,20650,315,262,492,1411,2935,3989,4943,5091,1209,3,,22252,286,233,586,1409,3044,4394,5331,5499,1470,-,,23695,291,255,543,1401,3156,4796,5689,5860,1704,-,,24346,289,227,525,1451,3140,4767,5978,5910,2058,1,,26633,337,220,584,1596,3457,5119,6440,6547,2333,-,,27276,327,261,580,1618,3496,5384,6421,6672,2517,-,,27903,288,263,542,1605,3353,5652,6671,6746,2783,-,,28737,323,249,564,1666,3552,5725,6848,6860,2950,-,,28986,326,249,563,1642,3587,5781,7044,6812,2982,-
,,,Bilinmeyen - Unknown,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Solunum sistemi hastalıkları,,,Toplam - Total,24996,934,185,295,428,1198,2903,6026,9766,3240,21,,24418,631,105,128,288,943,2657,5878,10004,3779,5,,31384,636,126,181,330,1121,3457,7641,12588,5300,4,,31024,533,121,163,313,1121,3233,7339,12419,5780,2,,35331,732,162,209,411,1267,3733,7981,13746,7090,-,,40593,698,199,208,427,1299,3934,8752,16041,9033,2,,43820,735,205,277,485,1515,4292,9436,16829,10046,-,,49296,831,284,285,602,1645,4971,10410,18470,11798,-,,50224,841,232,250,494,1452,4674,10442,18535,13301,3
Diseases of the respiratory system,,,Erkek - Male,15654,485,91,142,256,819,2179,4207,5977,1485,13,,14971,344,56,64,176,657,1930,4000,6070,1672,2,,19230,347,72,106,196,743,2509,5265,7580,2411,1,,18785,282,76,101,190,774,2319,4969,7424,2649,1,,21182,385,90,116,251,849,2705,5425,8142,3219,-,,23738,404,133,120,250,865,2811,5792,9318,4044,1,,25593,399,127,160,279,957,3051,6217,9916,4487,-,,28482,437,173,168,348,1085,3462,6837,10704,5268,-,,28717,463,163,151,297,952,3272,6894,10665,5860,-
,,,Kadın - Female ,9342,449,94,153,172,379,724,1819,3789,1755,8,,9447,287,49,64,112,286,727,1878,3934,2107,3,,12154,289,54,75,134,378,948,2376,5008,2889,3,,12239,251,45,62,123,347,914,2370,4995,3131,1,,14149,347,72,93,160,418,1028,2556,5604,3871,-,,16854,293,66,88,177,434,1123,2960,6723,4989,1,,18226,336,78,117,206,557,1241,3219,6913,5559,-,,20814,394,111,117,254,560,1509,3573,7766,6530,-,,21506,378,69,99,197,499,1402,3548,7870,7441,3
