"Ay ve cinsiyete göre ölümler, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Deaths by month and sex, 2009-2023",,,,,,,,,,,,,,,,
,,Yıl-Year,,,,,,,,,,,,,,
Ay-Month,Cinsiyet-Sex,2009,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020(r),2021(r),2022(r),2023.0
November,Erkek-Male,17092,16595.0,17253.0,16299.0,17045.0,17448.0,18625.0,19102.0,19124.0,19264.0,18996.0,33131,28298,21361,21362.0
,Kadın-Female,13844,13761.0,14172.0,13195.0,13798.0,14374.0,14901.0,15641.0,15603.0,16146.0,15510.0,24369,24182,17741,17373.0
,,,,,,,,,,,,,,,,
Aralık,Toplam-Total,32769,32217.0,33223.0,32131.0,35700.0,32635.0,35593.0,38046.0,36330.0,38634.0,38161.0,61182,52313,43439,43050.0
December,Erkek-Male,17975,17455.0,18202.0,17667.0,19550.0,17813.0,19463.0,20724.0,19716.0,20876.0,20846.0,34989,28493,23344,23457.0
,Kadın-Female,14794,14762.0,15021.0,14464.0,16150.0,14822.0,16130.0,17322.0,16614.0,17758.0,17315.0,26193,23820,20095,19593.0
Kaynak: Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü,,,,,,,,,,,,,,,,
               Sağlık Bakanlığı,,,,,,,,,,,,,,,,
Source: General Directorate of Civil Registration and Citizenship Affairs,,,,,,,,,,,,,,,,
              Ministry of Health,,,,,,,,,,,,,,,,
(r) Ölüm verileri güncel idari kayıtlarla revize edilmiştir.,,,,,,,,,,,,,,,,
(r) Death data were revised with updated administrative records.,,,,,,,,,,,,,,,,
