"İl ve cinsiyete göre bebek ölümleri, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Infant deaths by province and sex, 2009-2023",,,,,,,,,,,,,,,,
[İkametgah yerine göre-By the place of usual residence],,,,,,,,,,,,,,,,
,,Yıl-Year,,,,,,,,,,,,,,
,Erkek-Male,72,49.0,52.0,58.0,64.0,58.0,68.0,53.0,61.0,40.0,67.0,57,53,50,38.0
,Kadın-Female,52,66.0,54.0,65.0,72.0,72.0,70.0,56.0,64.0,43.0,43.0,53,48,45,39.0
,,,,,,,,,,,,,,,,
Bolu,Toplam-Total,34,36.0,23.0,33.0,36.0,24.0,29.0,24.0,19.0,29.0,21.0,24,20,16,17.0
,Erkek-Male,18,19.0,16.0,15.0,22.0,18.0,15.0,17.0,13.0,16.0,8.0,13,11,11,11.0
,Kadın-Female,16,17.0,7.0,18.0,14.0,6.0,14.0,7.0,6.0,13.0,13.0,11,9,5,6.0
,,,,,,,,,,,,,,,,
Burdur,Toplam-Total,38,42.0,30.0,24.0,27.0,44.0,28.0,26.0,29.0,22.0,28.0,14,26,14,20.0
,Erkek-Male,20,25.0,15.0,16.0,17.0,24.0,16.0,12.0,18.0,11.0,15.0,8,14,8,14.0
,Kadın-Female,18,17.0,15.0,8.0,10.0,20.0,12.0,14.0,11.0,11.0,13.0,6,12,6,6.0
,,,,,,,,,,,,,,,,
Bursa,Toplam-Total,486,382.0,387.0,354.0,319.0,373.0,331.0,365.0,290.0,313.0,248.0,230,259,216,217.0
,Erkek-Male,258,220.0,203.0,204.0,188.0,209.0,203.0,201.0,170.0,183.0,135.0,131,148,123,124.0
,Kadın-Female,228,162.0,184.0,150.0,131.0,164.0,128.0,164.0,120.0,130.0,113.0,99,111,93,93.0
,,,,,,,,,,,,,,,,
Çanakkale,Toplam-Total,86,61.0,59.0,73.0,60.0,41.0,36.0,34.0,35.0,28.0,37.0,32,33,19,23.0
,Erkek-Male,57,38.0,38.0,44.0,30.0,26.0,18.0,14.0,23.0,15.0,22.0,21,21,9,14.0
,Kadın-Female,29,23.0,21.0,29.0,30.0,15.0,18.0,20.0,12.0,13.0,15.0,11,12,10,9.0
,,,,,,,,,,,,,,,,
Çankırı,Toplam-Total,30,25.0,18.0,21.0,23.0,23.0,15.0,28.0,10.0,31.0,16.0,20,18,13,12.0
,Erkek-Male,17,10.0,10.0,13.0,13.0,15.0,9.0,15.0,5.0,14.0,6.0,9,10,9,7.0
,Kadın-Female,13,15.0,8.0,8.0,10.0,8.0,6.0,13.0,5.0,17.0,10.0,11,8,4,5.0
,,,,,,,,,,,,,,,,
Çorum,Toplam-Total,107,79.0,78.0,70.0,56.0,69.0,61.0,46.0,41.0,48.0,55.0,25,24,41,39.0
,Erkek-Male,59,37.0,43.0,36.0,32.0,39.0,31.0,27.0,23.0,29.0,25.0,12,15,18,20.0
,Kadın-Female,48,42.0,35.0,34.0,24.0,30.0,30.0,19.0,18.0,19.0,30.0,13,9,23,19.0
,,,,,,,,,,,,,,,,
Denizli,Toplam-Total,196,136.0,148.0,146.0,112.0,111.0,128.0,122.0,104.0,127.0,100.0,86,88,99,69.0
,Erkek-Male,93,68.0,79.0,77.0,67.0,46.0,74.0,69.0,64.0,68.0,53.0,48,41,63,34.0
,Kadın-Female,103,68.0,69.0,69.0,45.0,65.0,54.0,53.0,40.0,59.0,47.0,38,47,36,35.0
,,,,,,,,,,,,,,,,
Diyarbakır,Toplam-Total,624,541.0,561.0,626.0,594.0,618.0,498.0,461.0,429.0,416.0,343.0,333,385,355,391.0
,Erkek-Male,334,281.0,298.0,345.0,313.0,339.0,263.0,228.0,213.0,203.0,191.0,169,203,181,213.0
,Kadın-Female,290,260.0,263.0,281.0,281.0,279.0,235.0,233.0,216.0,213.0,152.0,164,182,174,178.0
,,,,,,,,,,,,,,,,
Edirne,Toplam-Total,38,38.0,30.0,33.0,33.0,28.0,23.0,27.0,23.0,25.0,26.0,24,23,17,30.0
,Erkek-Male,19,26.0,12.0,17.0,22.0,13.0,14.0,12.0,11.0,12.0,11.0,16,14,6,19.0
,Kadın-Female,19,12.0,18.0,16.0,11.0,15.0,9.0,15.0,12.0,13.0,15.0,8,9,11,11.0
,,,,,,,,,,,,,,,,
Elazığ,Toplam-Total,161,129.0,104.0,129.0,137.0,105.0,102.0,108.0,97.0,76.0,81.0,89,65,67,73.0
,Erkek-Male,77,79.0,58.0,62.0,78.0,52.0,47.0,48.0,49.0,42.0,36.0,53,29,36,33.0
,Kadın-Female,84,50.0,46.0,67.0,59.0,53.0,55.0,60.0,48.0,34.0,45.0,36,36,31,40.0
,,,,,,,,,,,,,,,,
Erzincan,Toplam-Total,36,38.0,27.0,27.0,35.0,27.0,21.0,22.0,25.0,21.0,22.0,20,19,16,14.0
,Erkek-Male,15,21.0,14.0,15.0,25.0,14.0,10.0,14.0,12.0,7.0,13.0,7,10,11,6.0
,Kadın-Female,21,17.0,13.0,12.0,10.0,13.0,11.0,8.0,13.0,14.0,9.0,13,9,5,8.0
,,,,,,,,,,,,,,,,
Erzurum,Toplam-Total,232,188.0,210.0,173.0,244.0,207.0,208.0,187.0,188.0,139.0,133.0,123,131,101,75.0
,Erkek-Male,112,109.0,106.0,85.0,110.0,102.0,109.0,98.0,106.0,70.0,66.0,55,77,51,44.0
,Kadın-Female,120,79.0,104.0,88.0,134.0,105.0,99.0,89.0,82.0,69.0,67.0,68,54,50,31.0
,,,,,,,,,,,,,,,,
Eskişehir,Toplam-Total,141,81.0,88.0,92.0,101.0,98.0,64.0,86.0,53.0,62.0,64.0,46,57,39,38.0
,Erkek-Male,76,43.0,49.0,48.0,63.0,45.0,34.0,42.0,31.0,35.0,30.0,27,35,19,22.0
,Kadın-Female,65,38.0,39.0,44.0,38.0,53.0,30.0,44.0,22.0,27.0,34.0,19,22,20,16.0
,,,,,,,,,,,,,,,,
Gaziantep,Toplam-Total,919,765.0,735.0,733.0,793.0,861.0,754.0,659.0,608.0,709.0,719.0,574,643,633,621.0
,Erkek-Male,514,421.0,406.0,386.0,430.0,470.0,418.0,349.0,346.0,393.0,419.0,311,357,373,344.0
,Kadın-Female,405,344.0,329.0,347.0,363.0,391.0,336.0,310.0,262.0,316.0,300.0,263,286,260,277.0
,,,,,,,,,,,,,,,,
Giresun,Toplam-Total,57,53.0,49.0,53.0,36.0,45.0,39.0,29.0,36.0,27.0,17.0,23,29,27,26.0
,Erkek-Male,35,26.0,23.0,27.0,16.0,30.0,21.0,18.0,23.0,12.0,5.0,15,14,13,16.0
,Kadın-Female,22,27.0,26.0,26.0,20.0,15.0,18.0,11.0,13.0,15.0,12.0,8,15,14,10.0
,,,,,,,,,,,,,,,,
Gümüşhane,Toplam-Total,31,22.0,16.0,13.0,12.0,25.0,16.0,11.0,12.0,13.0,17.0,15,17,11,16.0
,Erkek-Male,18,11.0,10.0,4.0,8.0,15.0,8.0,9.0,6.0,5.0,7.0,6,7,6,8.0
,Kadın-Female,13,11.0,6.0,9.0,4.0,10.0,8.0,2.0,6.0,8.0,10.0,9,10,5,8.0
,,,,,,,,,,,,,,,,
Hakkari,Toplam-Total,128,101.0,98.0,81.0,94.0,101.0,81.0,86.0,95.0,72.0,76.0,72,78,66,53.0
,Erkek-Male,61,55.0,54.0,44.0,47.0,49.0,43.0,39.0,47.0,37.0,37.0,47,39,38,25.0
,Kadın-Female,67,46.0,44.0,37.0,47.0,52.0,38.0,47.0,48.0,35.0,39.0,25,39,28,28.0
,,,,,,,,,,,,,,,,
Hatay,Toplam-Total,409,365.0,399.0,428.0,335.0,374.0,318.0,337.0,315.0,288.0,303.0,264,232,260,408.0
,Erkek-Male,228,184.0,235.0,223.0,185.0,186.0,176.0,193.0,172.0,160.0,168.0,117,125,149,210.0
,Kadın-Female,181,181.0,164.0,205.0,150.0,188.0,142.0,144.0,143.0,128.0,135.0,147,107,111,198.0
,,,,,,,,,,,,,,,,
Isparta,Toplam-Total,81,87.0,71.0,82.0,58.0,50.0,48.0,50.0,45.0,42.0,35.0,29,35,34,39.0
,Erkek-Male,51,51.0,40.0,37.0,26.0,33.0,32.0,23.0,24.0,20.0,17.0,16,19,16,20.0
,Kadın-Female,30,36.0,31.0,45.0,32.0,17.0,16.0,27.0,21.0,22.0,18.0,13,16,18,19.0
,,,,,,,,,,,,,,,,
Mersin,Toplam-Total,366,306.0,274.0,338.0,319.0,372.0,305.0,265.0,261.0,219.0,218.0,171,152,173,191.0
,Erkek-Male,204,159.0,143.0,172.0,175.0,203.0,168.0,144.0,149.0,116.0,118.0,95,90,99,111.0
,Kadın-Female,162,147.0,131.0,166.0,144.0,169.0,137.0,121.0,112.0,103.0,100.0,76,62,74,80.0
,,,,,,,,,,,,,,,,
İstanbul,Toplam-Total,2405,2062.0,1693.0,1943.0,1840.0,2149.0,1994.0,1916.0,1761.0,1684.0,1547.0,1294,1240,1177,1119.0
,Erkek-Male,1311,1137.0,907.0,1084.0,1020.0,1219.0,1110.0,1040.0,964.0,932.0,878.0,708,677,673,621.0
