"İl ve cinsiyete göre bebek ölümleri, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Infant deaths by province and sex, 2009-2023",,,,,,,,,,,,,,,,
[İkametgah yerine göre-By the place of usual residence],,,,,,,,,,,,,,,,
,,Yıl-Year,,,,,,,,,,,,,,
Tunceli,Toplam-Total,10,9.0,12.0,9.0,5.0,12.0,10.0,3.0,10.0,5.0,9.0,8,12,9,5.0
,Erkek-Male,5,1.0,6.0,5.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,4,7,8,3.0
,Kadın-Female,5,8.0,6.0,4.0,3.0,8.0,8.0,1.0,5.0,2.0,5.0,4,5,1,2.0
,,,,,,,,,,,,,,,,
Şanlıurfa,Toplam-Total,903,952.0,961.0,931.0,928.0,1134.0,1151.0,1116.0,1053.0,910.0,988.0,864,982,965,955.0
,Erkek-Male,484,478.0,487.0,463.0,484.0,614.0,620.0,579.0,550.0,505.0,546.0,477,537,526,538.0
,Kadın-Female,419,474.0,474.0,468.0,444.0,520.0,531.0,537.0,503.0,405.0,442.0,387,445,439,417.0
,,,,,,,,,,,,,,,,
Uşak,Toplam-Total,70,53.0,55.0,68.0,63.0,39.0,56.0,35.0,26.0,40.0,48.0,20,41,37,43.0
,Erkek-Male,41,26.0,33.0,28.0,40.0,20.0,34.0,17.0,16.0,24.0,29.0,11,22,23,25.0
,Kadın-Female,29,27.0,22.0,40.0,23.0,19.0,22.0,18.0,10.0,16.0,19.0,9,19,14,18.0
,,,,,,,,,,,,,,,,
Van,Toplam-Total,466,388.0,377.0,283.0,530.0,518.0,490.0,401.0,347.0,326.0,342.0,296,282,230,222.0
,Erkek-Male,228,213.0,196.0,145.0,281.0,308.0,267.0,220.0,180.0,172.0,199.0,152,135,131,128.0
,Kadın-Female,238,175.0,181.0,138.0,249.0,210.0,223.0,181.0,167.0,154.0,143.0,144,147,99,94.0
,,,,,,,,,,,,,,,,
Yozgat,Toplam-Total,98,78.0,81.0,57.0,44.0,67.0,60.0,49.0,43.0,40.0,43.0,49,38,46,37.0
,Erkek-Male,50,38.0,47.0,29.0,24.0,35.0,31.0,30.0,26.0,25.0,26.0,33,23,22,15.0
,Kadın-Female,48,40.0,34.0,28.0,20.0,32.0,29.0,19.0,17.0,15.0,17.0,16,15,24,22.0
,,,,,,,,,,,,,,,,
Zonguldak,Toplam-Total,73,64.0,62.0,79.0,59.0,60.0,56.0,64.0,62.0,45.0,36.0,23,39,34,29.0
,Erkek-Male,41,36.0,31.0,38.0,31.0,32.0,28.0,30.0,36.0,19.0,15.0,14,18,20,16.0
,Kadın-Female,32,28.0,31.0,41.0,28.0,28.0,28.0,34.0,26.0,26.0,21.0,9,21,14,13.0
,,,,,,,,,,,,,,,,
Aksaray,Toplam-Total,127,98.0,97.0,79.0,69.0,79.0,73.0,54.0,61.0,63.0,56.0,45,49,49,48.0
,Erkek-Male,73,48.0,59.0,50.0,37.0,42.0,47.0,30.0,31.0,32.0,26.0,20,31,31,23.0
,Kadın-Female,54,50.0,38.0,29.0,32.0,37.0,26.0,24.0,30.0,31.0,30.0,25,18,18,25.0
,,,,,,,,,,,,,,,,
Bayburt,Toplam-Total,17,13.0,6.0,8.0,10.0,16.0,14.0,8.0,10.0,9.0,11.0,7,6,6,3.0
,Erkek-Male,8,7.0,2.0,4.0,8.0,11.0,6.0,5.0,7.0,5.0,2.0,3,4,4,2.0
,Kadın-Female,9,6.0,4.0,4.0,2.0,5.0,8.0,3.0,3.0,4.0,9.0,4,2,2,1.0
,,,,,,,,,,,,,,,,
Karaman,Toplam-Total,75,51.0,56.0,50.0,35.0,32.0,35.0,32.0,30.0,26.0,24.0,21,27,27,18.0
,Erkek-Male,49,24.0,26.0,18.0,18.0,14.0,19.0,16.0,13.0,16.0,14.0,11,11,16,9.0
,Kadın-Female,26,27.0,30.0,32.0,17.0,18.0,16.0,16.0,17.0,10.0,10.0,10,16,11,9.0
,,,,,,,,,,,,,,,,
Kırıkkale,Toplam-Total,52,31.0,37.0,43.0,33.0,48.0,26.0,41.0,31.0,27.0,27.0,15,19,23,17.0
,Erkek-Male,34,19.0,15.0,25.0,17.0,26.0,10.0,28.0,21.0,14.0,13.0,10,9,14,13.0
,Kadın-Female,18,12.0,22.0,18.0,16.0,22.0,16.0,13.0,10.0,13.0,14.0,5,10,9,4.0
,,,,,,,,,,,,,,,,
Batman,Toplam-Total,185,174.0,196.0,208.0,244.0,235.0,191.0,180.0,169.0,149.0,144.0,160,145,144,109.0
,Erkek-Male,109,94.0,109.0,109.0,137.0,131.0,104.0,108.0,87.0,85.0,89.0,90,66,67,60.0
,Kadın-Female,76,80.0,87.0,99.0,107.0,104.0,87.0,72.0,82.0,64.0,55.0,70,79,77,49.0
,,,,,,,,,,,,,,,,
Şırnak,Toplam-Total,260,201.0,225.0,233.0,211.0,262.0,234.0,204.0,182.0,213.0,171.0,225,198,146,153.0
,Erkek-Male,126,128.0,121.0,118.0,101.0,149.0,113.0,107.0,93.0,117.0,82.0,125,103,90,89.0
,Kadın-Female,134,73.0,104.0,115.0,110.0,113.0,121.0,97.0,89.0,96.0,89.0,100,95,56,64.0
,,,,,,,,,,,,,,,,
Bartın,Toplam-Total,27,24.0,23.0,20.0,14.0,28.0,8.0,20.0,12.0,27.0,9.0,6,15,15,19.0
,Erkek-Male,13,14.0,10.0,14.0,10.0,19.0,5.0,11.0,4.0,14.0,6.0,4,8,9,10.0
,Kadın-Female,14,10.0,13.0,6.0,4.0,9.0,3.0,9.0,8.0,13.0,3.0,2,7,6,9.0
,,,,,,,,,,,,,,,,
Ardahan,Toplam-Total,30,23.0,18.0,28.0,20.0,17.0,14.0,15.0,14.0,9.0,16.0,12,7,6,11.0
,Erkek-Male,18,14.0,13.0,18.0,14.0,14.0,6.0,8.0,11.0,5.0,9.0,6,2,2,6.0
,Kadın-Female,12,9.0,5.0,10.0,6.0,3.0,8.0,7.0,3.0,4.0,7.0,6,5,4,5.0
,,,,,,,,,,,,,,,,
Iğdır,Toplam-Total,61,54.0,41.0,41.0,56.0,64.0,46.0,47.0,39.0,38.0,33.0,32,37,30,36.0
,Erkek-Male,36,31.0,24.0,18.0,25.0,36.0,29.0,27.0,21.0,16.0,18.0,18,16,15,23.0
,Kadın-Female,25,23.0,17.0,23.0,31.0,28.0,17.0,20.0,18.0,22.0,15.0,14,21,15,13.0
,,,,,,,,,,,,,,,,
Yalova,Toplam-Total,25,15.0,25.0,24.0,18.0,24.0,21.0,23.0,33.0,29.0,18.0,27,31,19,27.0
,Erkek-Male,17,7.0,8.0,17.0,4.0,16.0,15.0,13.0,13.0,17.0,11.0,17,21,14,13.0
,Kadın-Female,8,8.0,17.0,7.0,14.0,8.0,6.0,10.0,20.0,12.0,7.0,10,10,5,14.0
,,,,,,,,,,,,,,,,
Karabük,Toplam-Total,33,26.0,21.0,21.0,18.0,13.0,14.0,13.0,14.0,24.0,7.0,10,12,18,22.0
,Erkek-Male,18,16.0,13.0,14.0,11.0,7.0,5.0,8.0,7.0,11.0,4.0,7,5,11,14.0
,Kadın-Female,15,10.0,8.0,7.0,7.0,6.0,9.0,5.0,7.0,13.0,3.0,3,7,7,8.0
,,,,,,,,,,,,,,,,
Kilis,Toplam-Total,53,46.0,40.0,46.0,70.0,76.0,54.0,39.0,51.0,41.0,38.0,32,32,29,37.0
,Erkek-Male,25,28.0,25.0,31.0,42.0,38.0,25.0,17.0,37.0,23.0,22.0,19,19,21,16.0
,Kadın-Female,28,18.0,15.0,15.0,28.0,38.0,29.0,22.0,14.0,18.0,16.0,13,13,8,21.0
,,,,,,,,,,,,,,,,
Osmaniye,Toplam-Total,135,129.0,137.0,119.0,117.0,105.0,101.0,114.0,83.0,103.0,73.0,70,61,72,78.0
,Erkek-Male,69,70.0,72.0,64.0,61.0,56.0,54.0,69.0,41.0,54.0,39.0,40,30,43,45.0
,Kadın-Female,66,59.0,65.0,55.0,56.0,49.0,47.0,45.0,42.0,49.0,34.0,30,31,29,33.0
,,,,,,,,,,,,,,,,
Düzce,Toplam-Total,47,51.0,63.0,74.0,38.0,55.0,45.0,53.0,37.0,43.0,41.0,51,46,33,38.0
,Erkek-Male,26,34.0,31.0,42.0,20.0,29.0,22.0,32.0,16.0,24.0,15.0,31,32,16,23.0
,Kadın-Female,21,17.0,32.0,32.0,18.0,26.0,23.0,21.0,21.0,19.0,26.0,20,14,17,15.0
Kaynak: Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü,,,,,,,,,,,,,,,,
               Sağlık Bakanlığı,,,,,,,,,,,,,,,,
Source: General Directorate of Civil Registration and Citizenship Affairs,,,,,,,,,,,,,,,,
              Ministry of Health,,,,,,,,,,,,,,,,
(r) Ölüm verileri güncel idari kayıtlarla revize edilmiştir.,,,,,,,,,,,,,,,,
(r) Death data were revised with updated administrative records.,,,,,,,,,,,,,,,,
